filename,length,chroma_stft_mean,chroma_stft_var,rms_mean,rms_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,rolloff_mean,rolloff_var,zero_crossing_rate_mean,zero_crossing_rate_var,harmony_mean,harmony_var,perceptr_mean,perceptr_var,tempo,mfcc1_mean,mfcc1_var,mfcc2_mean,mfcc2_var,mfcc3_mean,mfcc3_var,mfcc4_mean,mfcc4_var,mfcc5_mean,mfcc5_var,mfcc6_mean,mfcc6_var,mfcc7_mean,mfcc7_var,mfcc8_mean,mfcc8_var,mfcc9_mean,mfcc9_var,mfcc10_mean,mfcc10_var,mfcc11_mean,mfcc11_var,mfcc12_mean,mfcc12_var,mfcc13_mean,mfcc13_var,mfcc14_mean,mfcc14_var,mfcc15_mean,mfcc15_var,mfcc16_mean,mfcc16_var,mfcc17_mean,mfcc17_var,mfcc18_mean,mfcc18_var,mfcc19_mean,mfcc19_var,mfcc20_mean,mfcc20_var
blues.00093.wav,30.013333333333332,0.37769488,0.09638859,0.06586,0.0018039934,570.3499041793746,104947.12167551513,995.5058534333008,84704.57751712255,929.3001037739269,499972.2079548395,0.02169698315448569,0.00011746860485255436,7.6123746e-07,0.0053168465,-0.00010389266,0.00023672632,[58.72691761],-350.35263,2656.7532,169.53174,622.58655,31.77135,316.68668,16.71844,213.50073,28.658941,188.21754,19.246181,68.66772,7.845076,40.605225,10.037885,36.637596,4.7406454,40.665188,2.9217067,36.67361,3.900229,46.56829,1.8129543,42.355606,-5.969145,35.479507,-5.2570925,33.864666,-0.2341594,38.70503,-1.7799479,35.267666,-3.709091,34.09589,0.17281227,34.522312,2.071619,44.243015,-2.8897853,61.440556
blues.00087.wav,30.013333333333332,0.33690158,0.09472053,0.1579406,0.0027224466,1441.6808066656074,387155.8030552187,1870.021372768175,146843.0027002518,3082.603762597883,2195438.73072594,0.05086923880993813,0.00115507458739707,-4.5386116e-07,0.018131465,-8.201917e-05,0.0035625682,[172.265625],-155.5764,3077.212,125.66273,801.5849,1.5785832,493.36688,45.839695,353.977,0.9277813,262.4273,25.383114,157.61603,-10.812055,240.15941,15.559012,130.40485,-11.919289,161.72377,1.2735378,109.053535,-6.6728826,107.041954,-0.78441757,111.794106,-7.74382,74.173164,0.41913205,87.70038,-7.0246973,84.73291,4.0101056,61.66703,-6.263391,53.535805,0.9611182,64.10035,2.0125468,68.33922,-5.7310157,83.996
blues.00050.wav,30.013333333333332,0.40100908,0.089657135,0.18228516,0.0039758557,1945.2525227243088,147430.67262319944,2081.763029953189,73538.99439990103,4174.460398238109,808384.1460867272,0.08579060022718484,0.0012194024196383187,-4.7652085e-07,0.0140918745,-3.7378162e-05,0.012257947,[135.99917763],-83.02948,2507.6577,107.10441,315.97162,-25.338032,340.72153,57.1057,204.45326,0.079835825,138.05843,34.69768,73.129486,-11.060306,101.87094,20.54429,52.264706,-11.203026,61.223705,14.825527,59.41549,-10.235623,43.789463,12.548191,50.42842,-9.764642,45.16902,2.5628443,45.140182,-6.2880325,46.704365,3.0061865,33.8147,-8.714562,38.76483,-0.33176583,56.96435,-2.9872,42.399,0.705028,55.6446
blues.00044.wav,30.013333333333332,0.3901175,0.086306624,0.13620916,0.00046733784,2279.031118632555,170912.65490314123,2375.2320905489205,52988.85765590022,5198.686455463312,569824.0025389729,0.09252533171403712,0.0009024755703477607,-0.0021756263,0.010294868,-0.00466364,0.0031387617,[135.99917763],-109.53125,825.7868,86.9288,227.79308,-8.606026,278.6758,64.480484,82.361404,-6.302876,55.093422,43.645935,38.814426,-8.295387,51.62467,28.543201,54.884117,-14.081493,77.61288,8.137968,85.42997,-21.48412,69.56904,11.087112,94.99685,-5.095304,91.418175,3.98011,68.813225,-12.861201,52.782646,12.336353,61.292187,0.017295076,73.25271,-0.7424919,56.273933,-5.134484,95.952225,3.2994614,92.61926
blues.00078.wav,30.013333333333332,0.41422728,0.082960755,0.25799304,0.0027301535,2333.5524819537313,89801.80812694147,2227.361074163545,30628.5518308221,4942.777742531903,481450.4857635812,0.12381951493619489,0.0005588661449706447,4.4819844e-06,0.027156265,0.0010893843,0.015646175,[123.046875],-2.5430133,734.6548,101.26548,164.12778,-33.930927,142.69362,41.52805,99.703766,-13.817938,104.83351,31.923836,48.223385,-21.876541,66.64847,24.470268,42.937637,-15.8744135,40.990276,15.808346,32.92149,-14.370209,43.8682,12.514341,41.010944,-13.378112,39.436363,6.1200833,31.8414,-9.062334,35.53531,5.044607,24.137114,-11.335097,35.112095,3.1728878,30.361067,-4.5773325,46.814373,-4.034992,35.24143
blues.00079.wav,30.013333333333332,0.4215437,0.07872209,0.27078366,0.0018968092,2442.9412574337894,130595.75158392222,2358.6658882329425,31737.91167195769,5267.915786778567,414655.6834674431,0.12468240948859242,0.0011888826330901203,1.7716764e-05,0.04008134,-3.537107e-05,0.012199369,[78.30255682],-3.5798953,1020.4018,92.929634,171.39415,-25.082928,149.58517,45.179504,65.76458,-10.856173,70.59468,31.863396,42.470566,-18.04439,73.045944,28.626354,48.179405,-10.2277155,59.069,14.668069,41.81109,-14.905226,30.200726,14.741958,28.676184,-15.603514,40.916348,9.546685,42.935627,-14.794422,35.299202,2.0718615,46.79044,-13.811248,38.363274,3.5728886,33.2389,-5.967709,34.37323,-1.6463124,59.82942
blues.00045.wav,30.013333333333332,0.4296856,0.090013646,0.14828186,0.000708944,1739.1187831361863,144891.45640328043,2290.3629154921327,65376.61343170699,4551.058301460992,819696.7521784143,0.048048310010634185,0.00026618744156701264,-0.0020876694,0.0138332825,-0.004860272,0.0023364867,[129.19921875],-163.24342,669.9909,89.78384,207.5522,12.974768,134.92914,80.69835,43.353313,3.6637852,32.880096,39.734093,38.96316,-5.409266,44.017635,26.490929,31.626709,-13.169032,37.974056,2.7055442,35.892223,-20.547697,38.927917,6.011405,37.744682,-2.906491,50.2276,-0.43132123,31.98003,-17.537825,38.903324,4.16445,32.078102,-5.9858313,36.06116,-7.8653197,31.954786,-8.567486,31.808247,1.8536395,42.822426
blues.00051.wav,30.013333333333332,0.39370215,0.085228145,0.19659239,0.0017112998,1977.0957174334274,137168.4252565505,1927.7012074033485,73886.46074278674,3943.357335774362,695655.2182812053,0.10660165313225058,0.000946205608834699,-3.3478595e-06,0.018108414,-4.204701e-05,0.009178951,[99.38401442],-55.631004,1013.7732,114.9514,318.2905,-37.049217,205.41469,64.900314,68.838974,-7.1699824,93.57416,15.256333,114.96858,-16.24762,97.79859,18.646315,77.883606,-9.762152,68.49206,21.460814,73.34603,-5.662462,72.03129,12.79181,99.28801,-16.540876,55.811733,3.7969823,54.153934,-7.9076314,57.914635,8.472277,56.29077,-4.0752034,47.117863,3.2032907,50.154823,-5.1877713,54.7304,-1.2790166,57.963596
blues.00086.wav,30.013333333333332,0.36592886,0.096423194,0.124884635,0.0036679134,1245.6864187308784,713242.3526382239,1634.5054364713471,335262.0416943793,2518.152393597738,3531630.3962476575,0.04881868414056458,0.0027271221550006965,-1.1555078e-05,0.011525531,-6.8562455e-05,0.0029160166,[123.046875],-212.79181,7245.46,139.06325,1555.4478,9.446759,732.1798,35.453796,258.03745,12.697431,310.7154,20.42067,185.92538,-5.5826244,180.287,10.889944,102.0161,-8.73331,140.48264,8.059619,75.97051,0.16372377,95.16277,2.6487746,75.527466,-1.0296488,76.18483,-1.4043938,72.52261,-4.708391,72.94243,1.1376657,100.25064,-9.471993,81.15206,-2.1887782,54.718277,-4.0989065,52.215088,-3.338622,45.732597
blues.00092.wav,30.013333333333332,0.39096886,0.10045535,0.063039556,0.0015321699,918.6809999544544,522913.1736600006,1437.035104374143,192328.66466056803,1602.5332846940255,2287747.1941500152,0.03231153023491879,0.0016002975588640964,-1.7120015e-05,0.004176994,-0.00014141088,0.00051355123,[83.35433468],-332.2246,7292.3906,128.08928,965.24335,28.80515,1185.7218,41.830193,303.7448,31.214472,229.45088,23.334787,160.46344,5.7841125,186.87914,9.001365,148.51697,-3.881717,184.25237,3.731323,95.78013,-0.87422895,90.75337,-0.43918997,82.60476,1.4851279,92.31089,-1.5689236,68.91012,-0.8338708,57.630722,2.1711133,60.399036,-3.8898404,72.59805,-4.1953926,43.173668,-5.9258738,45.381966,-3.4450052,32.345116
